Right Vastus lateralis~5,Right Biceps femoris caput longus~5,Right Gastrocnemius lateralis~5,Right Gluteus maximus~5,Right Rectus femoris~5
0.2280334728,0.0558659218,0.4681818182,0.1885714286,0.0764119601
0.2217573222,0.0530726257,0.4545454545,0.1828571429,0.0730897010
0.2133891213,0.0502793296,0.4409090909,0.1771428571,0.0697674419
0.2050209205,0.0502793296,0.4272727273,0.1714285714,0.0664451827
0.1966527197,0.0474860335,0.4136363636,0.1657142857,0.0631229236
0.1882845188,0.0446927374,0.3954545455,0.1600000000,0.0581395349
0.1799163180,0.0446927374,0.3818181818,0.1542857143,0.0564784053
0.1715481172,0.0418994413,0.3636363636,0.1542857143,0.0531561462
0.1652719665,0.0391061453,0.3500000000,0.1485714286,0.0498338870
0.1569037657,0.0391061453,0.3363636364,0.1428571429,0.0481727575
0.1527196653,0.0391061453,0.3227272727,0.1428571429,0.0465116279
0.1464435146,0.0363128492,0.3136363636,0.1371428571,0.0448504983
0.1422594142,0.0363128492,0.3045454545,0.1371428571,0.0448504983
0.1401673640,0.0363128492,0.2954545455,0.1314285714,0.0448504983
0.1359832636,0.0363128492,0.2863636364,0.1314285714,0.0448504983
0.1338912134,0.0363128492,0.2818181818,0.1314285714,0.0448504983
0.1338912134,0.0363128492,0.2818181818,0.1314285714,0.0465116279
0.1317991632,0.0391061453,0.2863636364,0.1314285714,0.0465116279
0.1317991632,0.0391061453,0.2909090909,0.1314285714,0.0481727575
0.1297071130,0.0391061453,0.3000000000,0.1314285714,0.0481727575
0.1297071130,0.0418994413,0.3090909091,0.1371428571,0.0498338870
0.1297071130,0.0418994413,0.3272727273,0.1371428571,0.0498338870
0.1297071130,0.0446927374,0.3454545455,0.1371428571,0.0514950166
0.1276150628,0.0446927374,0.3681818182,0.1428571429,0.0514950166
0.1276150628,0.0474860335,0.3909090909,0.1428571429,0.0514950166
0.1255230126,0.0474860335,0.4136363636,0.1428571429,0.0498338870
0.1255230126,0.0474860335,0.4409090909,0.1428571429,0.0498338870
0.1234309623,0.0474860335,0.4681818182,0.1428571429,0.0481727575
0.1213389121,0.0474860335,0.4909090909,0.1371428571,0.0465116279
0.1192468619,0.0474860335,0.5136363636,0.1371428571,0.0431893688
0.1192468619,0.0474860335,0.5363636364,0.1314285714,0.0415282392
0.1171548117,0.0474860335,0.5500000000,0.1257142857,0.0382059801
0.1150627615,0.0474860335,0.5590909091,0.1200000000,0.0365448505
0.1129707113,0.0474860335,0.5636363636,0.1085714286,0.0332225914
0.1108786611,0.0474860335,0.5636363636,0.1028571429,0.0299003322
0.1108786611,0.0474860335,0.5590909091,0.0914285714,0.0282392027
0.1087866109,0.0474860335,0.5454545455,0.0800000000,0.0265780731
0.1066945607,0.0474860335,0.5272727273,0.0742857143,0.0232558140
0.1066945607,0.0474860335,0.5045454545,0.0628571429,0.0232558140
0.1046025105,0.0474860335,0.4727272727,0.0571428571,0.0215946844
0.1046025105,0.0474860335,0.4409090909,0.0457142857,0.0215946844
0.1025104603,0.0474860335,0.4045454545,0.0400000000,0.0215946844
0.1025104603,0.0502793296,0.3681818182,0.0342857143,0.0232558140
0.1025104603,0.0502793296,0.3318181818,0.0342857143,0.0249169435
0.1025104603,0.0502793296,0.3000000000,0.0285714286,0.0282392027
0.1046025105,0.0530726257,0.2636363636,0.0228571429,0.0315614618
0.1046025105,0.0530726257,0.2363636364,0.0228571429,0.0365448505
0.1066945607,0.0558659218,0.2090909091,0.0228571429,0.0415282392
0.1087866109,0.0558659218,0.1863636364,0.0228571429,0.0465116279
0.1129707113,0.0586592179,0.1727272727,0.0228571429,0.0531561462
0.1150627615,0.0586592179,0.1590909091,0.0228571429,0.0598006645
0.1171548117,0.0586592179,0.1545454545,0.0228571429,0.0664451827
0.1213389121,0.0614525140,0.1500000000,0.0228571429,0.0730897010
0.1234309623,0.0614525140,0.1545454545,0.0228571429,0.0780730897
0.1276150628,0.0642458101,0.1545454545,0.0285714286,0.0847176080
0.1297071130,0.0642458101,0.1636363636,0.0285714286,0.0897009967
0.1317991632,0.0670391061,0.1681818182,0.0285714286,0.0946843854
0.1338912134,0.0670391061,0.1772727273,0.0285714286,0.0980066445
0.1359832636,0.0670391061,0.1863636364,0.0228571429,0.0996677741
0.1359832636,0.0698324022,0.1954545455,0.0228571429,0.1013289037
0.1359832636,0.0698324022,0.2000000000,0.0228571429,0.1013289037
0.1359832636,0.0698324022,0.2090909091,0.0228571429,0.1013289037
0.1338912134,0.0698324022,0.2136363636,0.0228571429,0.0996677741
0.1317991632,0.0698324022,0.2136363636,0.0171428571,0.0980066445
0.1297071130,0.0698324022,0.2181818182,0.0171428571,0.0946843854
0.1276150628,0.0698324022,0.2181818182,0.0171428571,0.0913621262
0.1255230126,0.0698324022,0.2181818182,0.0171428571,0.0880398671
0.1213389121,0.0670391061,0.2181818182,0.0171428571,0.0830564784
0.1192468619,0.0670391061,0.2181818182,0.0171428571,0.0797342193
0.1150627615,0.0670391061,0.2181818182,0.0171428571,0.0764119601
