Right Vastus lateralis~5,Right Biceps femoris caput longus~5,Right Gastrocnemius lateralis~5,Right Gluteus maximus~5,Right Rectus femoris~5
0.216080402,0.4821428571,0.3269230769,0.3668341709,0.1135135135
0.2135678392,0.4821428571,0.3076923077,0.3567839196,0.1135135135
0.2085427136,0.4761904762,0.2980769231,0.351758794,0.1108108108
0.2060301508,0.4702380952,0.2788461538,0.3417085427,0.1081081081
0.2010050251,0.4702380952,0.2596153846,0.3366834171,0.1081081081
0.1934673367,0.4642857143,0.25,0.3266331658,0.1054054054
0.1884422111,0.4583333333,0.2307692308,0.3165829146,0.1027027027
0.1834170854,0.4583333333,0.2115384615,0.3115577889,0.1
0.175879397,0.4523809524,0.1923076923,0.3015075377,0.0972972973
0.1683417085,0.4523809524,0.1730769231,0.2964824121,0.09459459459
0.1608040201,0.4464285714,0.1634615385,0.2864321608,0.09189189189
0.1557788945,0.4464285714,0.1442307692,0.2814070352,0.08918918919
0.148241206,0.4404761905,0.125,0.2763819095,0.08918918919
0.1407035176,0.4404761905,0.1153846154,0.2713567839,0.08648648649
0.135678392,0.4345238095,0.1057692308,0.2713567839,0.08378378378
0.1281407035,0.4345238095,0.08653846154,0.2663316583,0.08378378378
0.1231155779,0.4285714286,0.07692307692,0.2663316583,0.08108108108
0.1155778894,0.4226190476,0.06730769231,0.2663316583,0.08108108108
0.1105527638,0.4226190476,0.06730769231,0.2663316583,0.07837837838
0.1055276382,0.4166666667,0.05769230769,0.2663316583,0.07837837838
0.1030150754,0.4107142857,0.04807692308,0.2663316583,0.07837837838
0.09798994975,0.4047619048,0.04807692308,0.2663316583,0.07837837838
0.09547738693,0.3988095238,0.04807692308,0.2713567839,0.07837837838
0.09296482412,0.3869047619,0.04807692308,0.2713567839,0.07837837838
0.09045226131,0.380952381,0.04807692308,0.2763819095,0.07837837838
0.09045226131,0.375,0.04807692308,0.2814070352,0.07837837838
0.08793969849,0.3630952381,0.04807692308,0.2814070352,0.07837837838
0.08793969849,0.3571428571,0.04807692308,0.2864321608,0.07837837838
0.08793969849,0.3452380952,0.05769230769,0.2864321608,0.07837837838
0.08793969849,0.3392857143,0.05769230769,0.2914572864,0.07837837838
0.08793969849,0.3273809524,0.05769230769,0.2914572864,0.07837837838
0.08793969849,0.3154761905,0.06730769231,0.2964824121,0.07837837838
0.09045226131,0.3095238095,0.06730769231,0.2964824121,0.07837837838
0.09045226131,0.2976190476,0.07692307692,0.3015075377,0.07837837838
0.09296482412,0.2916666667,0.07692307692,0.3015075377,0.07837837838
